"idno";"intnum";"speed"
18500;"807";1260
18508;"1047";1260
18535;"248";1260
18537;"718";180
18542;"222";140
18543;"190";630
18544;"698";630
18545;"704";420
18546;"1047";315
18551;"424";630
18568;"287";315
18569;"500";1260
18593;"879";315
18604;"1070";1260
18606;"639";315
18612;"501";630
18624;"328";180
18627;"253";630
18646;"111";630
18647;"376";252
18650;"931";420
18660;"256";157.5
18669;"611";630
18673;"1070";420
18678;"960";420
18687;"574";1260
18694;"471";1260
18704;"768";1260
18705;"890";252
18717;"881";210
18724;"669";1260
18730;"774";1260
18731;"696";1260
18739;"796";315
18749;"1125";252
18758;"141";1260
18768;"124";315
18772;"1132";630
18785;"1125";180
18794;"870";180
18810;"610";315
18815;"1066";1260
18827;"1103";630
18832;"1113";315
18833;"190";420
18835;"213";315
18837;"540";315
18841;"186";1260
18844;"522";210
18852;"652";1260
18863;"186";630
18874;"933";420
18879;"386";420
18891;"141";630
18897;"186";1260
18900;"964";420
18901;"819";1260
18909;"314";1260
18913;"271";1260
18918;"845";1260
18919;"367";1260
18921;"1150";252
18923;"669";210
18933;"986";210
18935;"1092";180
18943;"111";630
18952;"713";315
18953;"344";630
18961;"589";1260
18963;"1093";1260
18979;"964";252
18984;"731";1260
18991;"1048";1260
18999;"685";252
19002;"442";630
19029;"616";420
19032;"1154";420
19038;"475";630
19039;"693";630
19044;"879";180
19046;"1093";630
19051;"227";1260
19057;"281";180
19065;"774";630
19068;"798";180
19074;"583";630
19082;"316";630
19084;"242";420
19085;"215";315
19103;"798";180
19109;"718";1260
19111;"479";630
19128;"345";420
19139;"956";1260
19161;"1146";1260
19163;"913";630
19165;"693";1260
19166;"263";1260
19185;"986";1260
19189;"587";315
19202;"181";420
19219;"1098";630
19233;"475";420
19235;"622";315
19238;"268";420
19251;"276";1260
19252;"378";630
19260;"807";420
19263;"867";1260
19266;"704";630
19276;"138";315
19289;"256";252
19296;"1103";1260
19299;"807";630
19314;"276";1260
19315;"468";420
19332;"693";252
19342;"1145";1260
19353;"375";140
19363;"964";315
19366;"621";630
19377;"796";210
19380;"879";1260
19400;"1068";252
19403;"446";315
19404;"1153";1260
19414;"1021";630
19419;"819";420
19433;"475";1260
19437;"982";420
19438;"375";630
19442;"774";180
19444;"190";210
19446;"408";1260
19451;"783";1260
19456;"608";252
19463;"1108";420
19464;"422";1260
19476;"542";180
19480;"237";630
19486;"294";420
19490;"796";1260
19491;"964";252
19493;"595";630
19498;"1105";1260
19519;"583";1260
19524;"470";1260
19530;"622";630
19546;"783";420
19589;"1155";1260
19597;"323";630
19600;"1145";210
19606;"856";1260
19608;"446";630
19610;"839";252
19615;"1113";210
19618;"1017";1260
19620;"570";420
19643;"818";315
19650;"867";1260
19660;"988";1260
19676;"845";1260
19705;"1095";630
19711;"1098";630
19713;"392";1260
19722;"1154";420
19757;"507";1260
19761;"386";630
19770;"693";1260
19771;"316";1260
19781;"276";1260
19789;"111";630
19790;"796";180
19797;"931";180
19798;"926";1260
19824;"501";630
19832;"616";1260
19833;"215";1260
19851;"138";1260
19866;"178";420
19870;"170";630
19873;"1146";210
19874;"978";420
19876;"358";315
19879;"964";1260
19881;"570";420
19884;"845";180
19888;"756";1260
19901;"408";630
19908;"516";630
19934;"1153";630
19941;"890";315
19960;"1066";1260
19965;"475";1260
19969;"622";420
19980;"685";180
19984;"956";1260
20013;"1105";315
20015;"768";420
20074;"704";157.5
20078;"141";180
20080;"141";420
20082;"329";420
20086;"551";315
20088;"681";252
20106;"476";1260
20110;"621";315
20113;"249";420
20115;"1149";157.5
20124;"278";315
20132;"453";180
20137;"1047";315
20147;"481";1260
20152;"652";630
20171;"487";315
20202;"867";630
20203;"446";1260
20217;"1004";1260
20221;"964";180
20228;"227";630
20241;"112";630
20247;"932";630
20248;"217";1260
20254;"329";157.5
20256;"539";1260
20257;"227";1260
20265;"348";420
20271;"796";630
20272;"713";157.5
20274;"170";252
20277;"1074";420
20295;"769";315
20319;"913";315
20320;"821";420
20333;"1125";1260
20334;"696";252
20336;"964";630
20340;"910";1260
20342;"879";630
20343;"719";180
20352;"344";180
20365;"1048";1260
20367;"539";315
20377;"1095";180
20383;"519";630
20386;"539";1260
20390;"719";210
20391;"272";315
20394;"696";420
20402;"913";630
20420;"324";140
20436;"539";180
20440;"287";420
20443;"910";420
20451;"964";630
20456;"774";1260
20459;"719";210
20466;"1008";630
20469;"278";1260
20479;"836";1260
20484;"442";1260
20486;"281";180
20493;"213";157.5
20496;"992";420
20497;"583";1260
20498;"389";630
20501;"639";1260
20502;"1068";420
20504;"987";1260
20508;"100";630
20514;"881";157.5
20535;"131";420
20537;"635";180
20543;"944";1260
20549;"1074";420
20556;"671";1260
20557;"570";315
20579;"1028";1260
20583;"1108";1260
20589;"112";1260
20595;"932";420
20619;"175";210
20625;"248";315
20627;"836";315
20628;"424";315
20637;"216";630
20644;"314";630
20646;"570";315
20659;"323";210
20667;"487";1260
20678;"287";1260
20686;"131";1260
20689;"392";1260
20691;"1155";1260
20696;"1154";1260
20697;"1103";1260
20708;"616";1260
20717;"822";210
20727;"141";1260
20744;"540";1260
20759;"170";180
20767;"920";1260
20771;"242";1260
20776;"933";1260
20779;"358";180
20790;"328";630
20792;"216";315
20795;"1017";630
20802;"587";1260
20809;"881";210
20811;"517";420
20838;"944";315
20859;"1021";315
20869;"845";630
20870;"540";420
20874;"1113";420
20884;"542";180
20888;"237";315
20889;"635";252
20904;"272";420
20914;"839";1260
20921;"890";1260
20922;"616";1260
20925;"492";1260
20943;"328";157.5
20952;"879";1260
20958;"833";1260
20959;"1028";1260
20961;"1149";180
20962;"1098";1260
20970;"287";315
20974;"129";1260
20976;"685";1260
20979;"839";252
21001;"324";420
21005;"978";252
21019;"281";1260
21020;"611";630
21043;"920";1260
21046;"924";1260
21055;"635";1260
21079;"870";1260
21090;"669";630
21092;"112";630
21095;"783";315
21120;"802";630
21125;"549";630
21127;"216";1260
21140;"731";1260
21147;"958";630
21148;"407";1260
21150;"713";420
21152;"470";252
21172;"583";1260
21179;"671";1260
21186;"1103";630
21190;"610";315
21195;"422";315
21196;"996";630
21218;"608";1260
21221;"264";1260
21224;"863";420
21228;"1008";630
21235;"227";420
21236;"253";1260
21238;"796";1260
21239;"1105";420
21244;"1063";140
21246;"1103";420
21248;"549";180
21249;"215";630
21258;"264";1260
21260;"446";140
21264;"1109";1260
21271;"248";1260
21276;"696";630
21278;"756";1260
21284;"344";315
21294;"287";630
21312;"635";315
21318;"1008";1260
21328;"475";1260
21330;"272";630
21333;"1105";1260
21336;"408";180
21338;"1093";1260
21350;"821";252
21352;"587";1260
21357;"453";252
21359;"574";1260
21368;"932";252
21369;"345";630
21374;"610";630
21386;"879";1260
21392;"652";1260
21393;"669";180
21406;"1149";180
21412;"622";180
21422;"1063";630
21425;"942";1260
21427;"932";1260
21432;"139";630
